Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Leading percentages,Reference
5d5.(2H).6p,3I*,6,,108878.47,,0.14,  38                                :    23  5d5.(2I).6p         1I*  ,L20381
5d5.(2H).6p,3I*,7,,116606.41,,0.20,  64                                :    13  5d5.(2I).6p         1K*  ,L20381
5d5.6p,108934*,5,,108934.42,,0.12,  20  5d5.(4F).6p 3G*               :    15  5d5.(2F1).6p        3G*  ,L20381
5d5.6p,109998*,5,,109998.24,,0.15,  26  5d5.(2G2).6p 3H*              :    19  5d5.(2G2).6p        3G*  ,L20381
,110177*,4,,110177.24,,0.14,  15  5d5.(2F1).6p 3F*              :    13  5d5.(4F).6p         3G*  ,L20381
,110442*,3,,110442.38,,0.24,  10  5d5.(4F).6p 3D*               :     9  5d5.(2D2).6p        3D*  ,L20381
5d5.6p,110488*,4,,110488.1,,0.3,  18  5d5.(4F).6p 3F*               :    14  5d5.(2F2).6p        3G*  ,L20381
5d4.(5D).6s.(6D).6p,7F*,6,,110858.85,,0.13,  44                                :    21  5d5.(4F).6p         5G*  ,L20381
,111403*,3,,111403.0,,0.3,  19  5d5.(2D3).6p 3F*              :    10  5d5.(4F).6p         5G*  ,L20381
,111543*,2,,111543.0,,0.4,  24  5d5.(2F2).6p 3D*              :     8  5d5.(2G2).6p        3F*  ,L20381
5d5.6p,112094*,4,,112094.0,,0.3,  17  5d5.(2H).6p 3H*               :    15  5d5.(2G2).6p        1G*  ,L20381
5d5.6p,112636*,5,,112636.67,,0.20,  27  5d5.(2F1).6p 3G*              :    11  5d5.(4F).6p         5F*  ,L20381
,113282*,3,,113282.7,,0.3,  17  5d5.(2G2).6p 3G*              :    13  5d5.(2F2).6p        3D*  ,L20381
5d5.6p,113467*,5,,113467.30,,0.15,  23  5d5.(4F).6p 5G*               :    23  5d5.(2F2).6p        3G*  ,L20381
,113571*,4,,113571.0,,0.3,  13  5d5.(2H).6p 3G*               :    11  5d5.(4F).6p         3F*  ,L20381
