Configuration,Term,J,"Level 
 (cm-1)","Uncertainty 
 (cm-1)",Landé-g,Leading percentages,,,,,,,Reference
3d4(3H)4p,z 2H°,9/2,68 476.8759,0.0012,,81,,,,12,3d4(a 1G)4p,2H°,"L18847,L7185"
,,11/2,68 737.7714,0.0012,,84,,,,10,3d4(a 1G)4p,2H°,"L18847,L7185"
,,,,,,,,,,,,,
3d4(a 3F)4p,z 2F°,5/2,68 583.3148,0.0012,,50,,,,21,3d4(3G)4p,2F°,"L18847,L7185"
,,7/2,68 759.7991,0.0012,,59,,,,18,3d4(3G)4p,2F°,"L18847,L7185"
,,,,,,,,,,,,,
3d4(3G)4p,y 4H°,7/2,68 843.2727,0.0012,,83,,,,16,3d4(3H)4p,4H°,"L18847,L7185"
,,9/2,68 992.3469,0.0012,,82,,,,14,3d4(3H)4p,4H°,"L18847,L7185"
,,11/2,69 170.3527,0.0012,,82,,,,13,3d4(3H)4p,4H°,"L18847,L7185"
,,13/2,69 388.1505,0.0012,,85,,,,13,3d4(3H)4p,4H°,"L18847,L7185"
,,,,,,,,,,,,,
3d4(a 3P)4p,2D°,3/2,69 348.1427,0.0012,,65,,,,28,3d4(a 3F)4p,2D°,"L18847,L7185"
,,5/2,69 954.0517,0.0012,,66,,,,20,3d4(a 3F)4p,2D°,"L18847,L7185"
,,,,,,,,,,,,,
3d4(3G)4p,4F°,5/2,69 477.9002,0.0012,,71,,,,11,3d4(3D)4p,4F°,"L18847,L7185"
,,9/2,69 498.2137,0.0012,,60,,,,13,3d4(a 3F)4p,2G°,"L18847,L7185"
,,7/2,69 506.0652,0.0012,,60,,,,11,3d4(a 3F)4p,2G°,"L18847,L7185"
,,3/2,69 638.5906,0.0012,,81,,,,13,3d4(3D)4p,4F°,"L18847,L7185"
,,,,,,,,,,,,,
3d4(a 3F)4p,y 2G°,7/2,69 903.4828,0.0012,,42,,,,25,3d4(3H)4p,2G°,"L18847,L7185"
,,9/2,70 107.6226,0.0012,,37,,,,25,3d4(3H)4p,2G°,"L18847,L7185"
,,,,,,,,,,,,,
3d4(3G)4p,x 4G°,5/2,70 316.8214,0.0012,,60,,,,17,3d4(3H)4p,4G°,"L18847,L7185"
,,7/2,70 426.9907,0.0012,,61,,,,19,3d4(3H)4p,4G°,"L18847,L7185"
,,9/2,70 679.0907,0.0012,,44,,,,22,3d4(3G)4p,2H°,"L18847,L7185"
,,11/2,70 879.7225,0.0012,,41,,,,38,3d4(3G)4p,2H°,"L18847,L7185"
,,,,,,,,,,,,,
3d4(3G)4p,y 2H°,9/2,70 394.1455,0.0012,,57,,,,19,3d4(3G)4p,4G°,"L18847,L7185"
,,11/2,70 398.7981,0.0012,,47,,,,34,3d4(3G)4p,4G°,"L18847,L7185"
,,,,,,,,,,,,,
3d4(3G)4p,y 2F°,5/2,70 584.3934,0.0012,,45,,,,32,3d4(a 3F)4p,2F°,"L18847,L7185"
,,7/2,70 852.1621,0.0016,,59,,,,20,3d4(a 3F)4p,2F°,"L18847,L7185"
,,,,,,,,,,,,,
3d4(3G)4p,x 2G°,7/2,72 648.5252,0.0015,,79,,,,11,3d4(3H)4p,2G°,"L18847,L7185"
,,9/2,72 716.7178,0.0013,,75,,,,13,3d4(3H)4p,2G°,"L18847,L7185"
,,,,,,,,,,,,,
3d4(3D)4p,w 4D°,1/2,73 406.8904,0.0017,,96,,,,,,,"L18847,L7185"
,,3/2,73 411.8807,0.0013,,91,,,,,,,"L18847,L7185"
,,5/2,73 436.1264,0.0019,,87,,,,,,,"L18847,L7185"
,,7/2,73 485.6078,0.0013,,89,,,,,,,"L18847,L7185"
,,,,,,,,,,,,,
3d4(a 1G)4p,x 2F°,7/2,74 114.3577,0.0013,,64,,,,19,3d4(3D)4p,4F°,"L18847,L7185"
,,5/2,74 436.1098,0.0015,,77,,,,7,3d4(3D)4p,2F°,"L18847,L7185"
,,,,,,,,,,,,,
3d4(3D)4p,w 4F°,3/2,74 273.3409,0.0020,,82,,,,13,3d4(3G)4p,4F°,"L18847,L7185"
,,5/2,74 318.8425,0.0013,,48,,,,40,3d4(3D)4p,4P°,"L18847,L7185"
,,7/2,74 423.6741,0.0013,,89,,,,6,3d4(3D)4p,4F°,"L18847,L7185"
,,9/2,74 504.0990,0.0013,,86,,,,13,3d4(3G)4p,4F°,"L18847,L7185"
,,,,,,,,,,,,,
3d4(1I)4p,2I°,11/2,74 421.7319,0.0013,,85,,,,12,3d4(a 1G)4p,2H°,"L18847,L7185"
,,13/2,74 743.186,0.007,,64,,,,35,3d4(1I)4p,2K°,"L18847,L7185"
,,,,,,,,,,,,,
3d4(1I)4p,2K°,13/2,74 424.1497,0.0013,,65,,,,33,3d4(1I)4p,2I°,"L18847,L7185"
,,15/2,74 958.8510,0.0013,,100,,,,,,,"L18847,L7185"
,,,,,,,,,,,,,
3d4(a 1G)4p,x 2H°,9/2,74 455.8028,0.0013,,82,,,,11,3d4(3H)4p,2H°,"L18847,L7185"
,,11/2,74 707.3839,0.0013,,72,,,,11,3d4(1I)4p,2I°,"L18847,L7185"
,,,,,,,,,,,,,
3d4(3D)4p,x 4P°,5/2,74 483.9075,0.0013,,53,,,,30,3d4(3D)4p,4F°,"L18847,L7185"
,,3/2,74 717.5574,0.0013,,93,,,,,,,"L18847,L7185"
,,1/2,74 920.389,0.003,,96,,,,,,,"L18847,L7185"
,,,,,,,,,,,,,
3d4(3D)4p,y 2P°,1/2,74 853.855,0.003,,55,,,,40,3d4(a 1S)4p,2P°,"L18847,L7185"
,,3/2,74 984.6964,0.0017,,61,,,,33,3d4(a 1S)4p,2P°,"L18847,L7185"
,,,,,,,,,,,,,
3d4(a 1G)4p,w 2G°,7/2,75 716.4946,0.0013,,82,,,,8,3d4(3G)4p,2G°,"L18847,L7185"
,,9/2,75 809.9745,0.0013,,80,,,,12,3d4(3G)4p,2G°,"L18847,L7185"
,,,,,,,,,,,,,
3d4(3D)4p,w 2F°,7/2,76 878.9679,0.0014,,73,,,,12,3d4(a 1G)4p,2F°,"L18847,L7185"
,,5/2,76 987.6447,0.0014,,72,,,,13,3d4(a 1G)4p,2F°,"L18847,L7185"
,,,,,,,,,,,,,
3d4(1I)4p,w 2H°,11/2,77 078.8563,0.0019,,88,,,,8,3d4(3G)4p,2H°,"L18847,L7185"
,,9/2,77 270.2178,0.0014,,90,,,,8,3d4(3G)4p,2H°,"L18847,L7185"
,,,,,,,,,,,,,
3d4(a 1S)4p,x 2P°,3/2,77 713.274,0.003,,31,,,,26,3d4(3D)4p,2D°,"L18847,L7185"
,,1/2,77 777.296,0.004,,48,,,,32,3d4(3D)4p,2P°,"L18847,L7185"
,,,,,,,,,,,,,
3d4(3D)4p,x 2D°,5/2,77 935.1998,0.0016,,65,,,,26,3d4(a 1D)4p,2D°,"L18847,L7185"
,,3/2,78 109.4665,0.0018,,48,,,,22,3d4(a 1S)4p,2P°,"L18847,L7185"
,,,,,,,,,,,,,
3d4(a 1D)4p,w 2D°,3/2,80 288.020,0.002,,74,,,,13,3d4(3D)4p,2D°,"L18847,L7185"
,,5/2,80 420.1608,0.0016,,65,,,,21,3d4(3D)4p,2D°,"L18847,L7185"
,,,,,,,,,,,,,
3d4(a 1D)4p,v 2F°,5/2,81 232.8788,0.0015,,86,,,,,,,"L18847,L7185"
,,7/2,81 432.2161,0.0015,,89,,,,,,,"L18847,L7185"
,,,,,,,,,,,,,
3d3(4F)4s4p(3P°),y 6D°,1/2,81 648.64,0.10,,,,,,,,,L18847
,,3/2,81 707.20,0.18,,,,,,,,,L18847
,,5/2,81 815.89,0.09,,,,,,,,,L18847
,,7/2,81 977.44,0.09,,,,,,,,,L18847
,,9/2,82 192.18,0.17,,,,,,,,,L18847
,,,,,,,,,,,,,
3d3(4F)4s4p(3P°),y 6F°,1/2,81 734.65,0.09,,,,,,,,,L18847
,,3/2,81 824.07,0.09,,,,,,,,,L18847
,,5/2,81 961.87,0.07,,,,,,,,,L18847
,,7/2,82 142.641,0.019,,,,,,,,,L18847
