Configuration,Term,J,"Level 
 (cm-1)","Uncertainty 
 (cm-1)",Leading percentages,,,,,,,Reference
,,2,142 534.85,0.10,49,,,,23,3d5(a 2G)4p,3F°,L11223
,,,,,,,,,,,,
3d5(c 2D)4s,1D,2,142 460.68,0.15,77,,,,23,3d5(a 2D)4s,1D,L11223
,,,,,,,,,,,,
3d5(a 2G)4p,3H°,4,142 855.47,0.10,47,3d5(2H)4p,3H°,,43,3d5(a 2G)4p,3H°,L11223
,,5,142 908.29,0.10,45,,,,37,3d5(2H)4p,3H°,L11223
,,6,143 320.85,0.11,50,,,,40,3d5(2H)4p,3H°,L11223
,,,,,,,,,,,,
3d5(a 2G)4p,3G°,5,143 883.76,0.10,37,,,,20,3d5(b 2F)4p,3G°,L11223
,,4,144 085.98,0.10,40,,,,23,3d5(b 2F)4p,3G°,L11223
,,3,144 116.47,0.10,41,,,,25,3d5(b 2F)4p,3G°,L11223
,,,,,,,,,,,,
3d5(b 2F)4p,1G°,4,144 332.23,0.09,31,,,,21,3d5(b 2F)4p,3F°,L11223
,,,,,,,,,,,,
3d5(b 2F)4p,3F°,2,144 501.78,0.10,61,,,,17,3d5(a 2G)4p,3F°,L11223
,,3,144 570.55,0.09,72,,,,9,3d5(a 2G)4p,3F°,L11223
,,4,144 968.41,0.09,55,,,,12,3d5(b 2F)4p,1G°,L11223
,,,,,,,,,,,,
3d5(a 2G)4p,1H°,5,144 586.76,0.10,60,,,,23,3d5(2H)4p,1H°,L11223
,,,,,,,,,,,,
3d5(2H)4p,1H°,5,144 843.00,0.11,65,,,,28,3d5(a 2G)4p,1H°,L11223
,,,,,,,,,,,,
3d5(a 2G)4p,1F°,3,145 038.62,0.09,75,,,,,,,L11223
,,,,,,,,,,,,
3d5(b 2F)4p,1D°,2,145 618.22,0.10,79,,,,9,3d5(b 2F)4p,3F°,L11223
,,,,,,,,,,,,
3d5(b 2F)4p,3G°,3,146 891.13,0.10,52,,,,37,3d5(2H)4p,3G°,L11223
,,4,147 161.27,0.10,56,,,,33,3d5(2H)4p,3G°,L11223
,,5,147 406.01,0.13,62,,,,29,3d5(2H)4p,3G°,L11223
,,,,,,,,,,,,
3d5(6S)4d,7D,1,147 281.86,0.23,,,,,,,,L7185
,,2,147 291.39,0.23,,,,,,,,L7185
,,3,147 306.16,0.23,,,,,,,,L7185
,,4,147 327.05,0.23,,,,,,,,L7185
,,5,147 354.92,0.23,,,,,,,,L7185
,,,,,,,,,,,,
