Configuration,Term,J,"Level 
 (cm-1)","Uncertainty 
 (cm-1)",Landé-g,Leading percentages,,,,,,,Reference
3d8(1G)4s4p(3P°),3G°,3,143 423.319,0.020,,99,,,,,,,L19804
,,,,,,,,,,,,,
3d9(2D5/2)7s,2[5/2],3,144 814.9118,0.0014,,100,,,,,,,L19804
,,2,144 882.9859,0.0016,,100,,,,,,,L19804
,,,,,,,,,,,,,
3d9(2D5/2)5f,2[1/2]°,0,145 889.334,0.004,,100,,,,,,,L19804
,,1,145 900.904,0.003,,84,,,,16,3d9(2D5/2)5f,2[3/2]°,L19804
,,,,,,,,,,,,,
3d9(2D5/2)5f,2[3/2]°,2,145 927.231,0.003,,100,,,,,,,L19804
,,1,145 955.447,0.004,,84,,,,16,3d9(2D5/2)5f,2[1/2]°,L19804
,,,,,,,,,,,,,
3d9(2D5/2)5f,2[11/2]°,5,145 945.5969,0.0019,,100,,,,,,,L19804
,,6,145 951.5299,0.0014,,100,,,,,,,L19804
,,,,,,,,,,,,,
3d9(2D5/2)5f,2[5/2]°,3,145 978.142,0.003,,98,,,,2,3d9(2D5/2)5f,2[7/2]°,L19804
,,2,145 985.199,0.003,,100,,,,,,,L19804
,,,,,,,,,,,,,
3d9(2D5/2)5f,2[7/2]°,3,146 021.279,0.003,,98,,,,2,3d9(2D5/2)5f,2[5/2]°,L19804
,,4,146 023.862,0.003,,86,,,,14,3d9(2D5/2)5f,2[9/2]°,L19804
,,,,,,,,,,,,,
3d9(2D5/2)5f,2[9/2]°,4,146 029.350,0.003,,86,,,,14,3d9(2D5/2)5f,2[7/2]°,L19804
,,5,146 032.2635,0.0021,,100,,,,,,,L19804
,,,,,,,,,,,,,
3d9(2D5/2)5g,2[3/2],1,146 051.118,0.004,,100,,,,,,,L19804
,,2,146 051.2431,0.003,,100,,,,,,,L19804
,,,,,,,,,,,,,
3d9(2D5/2)5g,2[13/2],6,146 068.85092,0.0019,,100,,,,,,,L19804
,,7,146 068.90547,0.0012,,100,,,,,,,L19804
,,,,,,,,,,,,,
3d9(2D5/2)5g,2[5/2],3,146 072.7739,0.0020,,100,,,,,,,L19804
,,2,146 072.8134,0.0018,,100,,,,,,,L19804
,,,,,,,,,,,,,
3d9(2D5/2)5g,2[7/2],3,146 093.9312,0.0014,,100,,,,,,,L19804
,,4,146 093.9535,0.0012,,100,,,,,,,L19804
,,,,,,,,,,,,,
3d9(2D5/2)5g,2[11/2],5,146 103.2223,0.0018,,100,,,,,,,L19804
,,6,146 103.25704,0.0011,,100,,,,,,,L19804
,,,,,,,,,,,,,
3d9(2D5/2)5g,2[9/2],4,146 107.1016,0.0016,,100,,,,,,,L19804
,,5,146 107.1288,0.0010,,100,,,,,,,L19804
,,,,,,,,,,,,,
3d9(2D5/2)6d,2[1/2],1,146 215.634,0.004,,98,,,,1,3d9(2D5/2)6d,2[3/2],L19804
,,0,147 097.835,0.005,,60,,,,29,3d9(2D3/2)6d,2[1/2],L19804
,,,,,,,,,,,,,
3d9(2D5/2)6d,2[9/2],5,146 402.715,0.004,,100,,,,,,,L19804
,,4,146 423.201,0.003,,100,,,,,,,L19804
,,,,,,,,,,,,,
3d9(2D5/2)6d,2[3/2],2,146 415.599,0.004,,97,,,,2,3d9(2D5/2)6d,2[5/2],L19804
,,1,146 427.948,0.003,,99,,,,1,3d9(2D5/2)6d,2[1/2],L19804
,,,,,,,,,,,,,
3d9(2D5/2)6d,2[5/2],3,146 496.100,0.003,,99,,,,1,3d9(2D5/2)6d,2[7/2],L19804
,,2,146 575.101,0.003,,97,,,,2,3d9(2D5/2)6d,2[3/2],L19804
,,,,,,,,,,,,,
3d9(2D5/2)6d,2[7/2],3,146 556.381,0.003,,99,,,,1,3d9(2D5/2)6d,2[5/2],L19804
,,4,146 559.703,0.003,,100,,,,,,,L19804
,,,,,,,,,,,,,
3d9(2D3/2)7s,2[3/2],1,146 886.1667,0.0021,,100,,,,,,,L19804
,,2,146 936.3180,0.0018,,99,,,,,,,L19804
,,,,,,,,,,,,,
3d9(2D5/2)7p,2[3/2]°,2,147 327.659,0.007,,94,,,,4,3d84s4p,,L19804
,,1,147 562.672,0.006,,94,,,,3,3d84s4p,,L19804
,,,,,,,,,,,,,
3d9(2D5/2)7p,2[7/2]°,3,147 525.93,0.06,,98,,,,1,3d84s4p,,L19804
,,4,147 596.655,0.006,,100,,,,,,,L19804
,,,,,,,,,,,,,
3d9(2D5/2)7p,2[5/2]°,2,147 647.699,0.009,,94,,,,3,3d84s4p,,L19804
,,3,147 762.990,0.005,,98,,,,,,,L19804
,,,,,,,,,,,,,
3d9(2D3/2)5f,2[3/2]°,2,147 987.359,0.004,,99,,,,,,,L19804
,,1,148 016.157,0.004,,99,,,,1,3d9(2D5/2)7p,2[3/2]°,L19804
,,,,,,,,,,,,,
3d9(2D3/2)5f,2[9/2]°,5,148 028.7360,0.0023,,100,,,,,,,L19804
,,4,148 033.574,0.003,,100,,,,,,,L19804
,,,,,,,,,,,,,
3d9(2D3/2)5f,2[5/2]°,3,148 061.467,0.003,,97,,,,2,3d9(2D3/2)5f,2[7/2]°,L19804
,,2,148 066.011,0.003,,99,,,,,,,L19804
,,,,,,,,,,,,,
3d9(2D3/2)5f,2[7/2]°,3,148 102.986,0.003,,97,,,,3,3d9(2D3/2)5f,2[5/2]°,L19804
,,4,148 105.366,0.003,,100,,,,,,,L19804
,,,,,,,,,,,,,
3d9(2D3/2)5g,2[5/2],3,148 133.777,0.003,,100,,,,,,,L19804
,,2,148 133.832,0.005,,100,,,,,,,L19804
,,,,,,,,,,,,,
3d9(2D3/2)5g,2[11/2],5,148 145.7906,0.0022,,100,,,,,,,L19804
,,6,148 145.8203,0.0021,,100,,,,,,,L19804
,,,,,,,,,,,,,
3d9(2D3/2)5g,2[7/2],3,148 167.557,0.003,,100,,,,,,,L19804
,,4,148 167.5920,0.0017,,100,,,,,,,L19804
,,,,,,,,,,,,,
3d9(2D3/2)5g,2[9/2],4,148 179.1541,0.0019,,100,,,,,,,L19804
,,5,148 179.1829,0.0016,,100,,,,,,,L19804
,,,,,,,,,,,,,
3d9(2D3/2)6d,2[1/2],1,148 361.542,0.004,,99,,,,,,,L19804
,,0,149 202.607,0.007,,51,,,,28,3d9(2D5/2)7d,2[1/2],L19804
,,,,,,,,,,,,,
3d9(2D3/2)6d,2[7/2],3,148 481.763,0.003,,100,,,,,,,L19804
,,4,148 515.532,0.004,,100,,,,,,,L19804
,,,,,,,,,,,,,
3d9(2D3/2)6d,2[3/2],1,148 521.575,0.003,,100,,,,,,,L19804
,,2,148 559.958,0.003,,99,,,,1,3d9(2D3/2)6d,2[5/2],L19804
,,,,,,,,,,,,,
3d9(2D3/2)6d,2[5/2],3,148 631.096,0.003,,100,,,,,,,L19804
,,2,148 642.489,0.003,,99,,,,1,3d9(2D3/2)6d,2[3/2],L19804
,,,,,,,,,,,,,
3d9(2D3/2)7p,2[1/2]°,0,149 371.08,0.08,,94,,,,5,3d84s4p,,L19804
,,1,149 484.111,0.008,,95,,,,4,3d84s4p,,L19804
,,,,,,,,,,,,,
