Configuration,Term,J,"Level 
 (cm-1)","Uncertainty 
 (cm-1)",Leading percentages,,,,,,,Reference
3d6(1D2)4p,°,5/2,231 091.8,,31,2D°,,,17,3d6(1D2)4p,2F°,
,,,,,,,,,,,,
3d6(1D2)4p,2D°,3/2,231 742.0,,62,,,,12,3d6(1D1)4p,2D°,
,,,,,,,,,,,,
3d6(1D2)4p,°,5/2,232 272.7,,30,2D°,,,25,3d6(1D2)4p,2F°,
,,,,,,,,,,,,
3d6(1D2)4p,2F°,7/2,232 539.5,,51,,,,13,3d6(1D1)4p,2F°,
,,,,,,,,,,,,
3d6(1S2)4p,°,3/2,234 019.5,,37,2P°,,,24,3d6(1D2)4p,2P°,
,,,,,,,,,,,,
3d6(1F)4p,2G°,7/2,237 480.3,,90,,,,2,3d6(3G)4p,2G°,
,,9/2,238 957.8,,93,,,,2,3d6(1G2)4p,2G°,
,,,,,,,,,,,,
3d6(1F)4p,2D°,5/2,239 009.7,,63,,,,15,3d6(1D2)4p,2D°,
,,3/2,240 094.2,,70,,,,9,3d6(1D2)4p,2D°,
,,,,,,,,,,,,
3d6(3P1)4p,4D°,1/2,241 172.4,,37,,,,37,3d6(3F1)4p,4D°,
,,,,,,,,,,,,
3d6(3F1)4p,4D°,3/2,241 540.0,,35,,,,32,3d6(3P1)4p,4D°,
,,5/2,241 817.9,,43,,,,29,3d6(3P1)4p,4D°,
,,7/2,241 939.0,,50,,,,23,3d6(3P1)4p,4D°,
,,,,,,,,,,,,
3d6(1F)4p,2F°,5/2,243 520.1,,83,,,,4,3d6(1G2)4p,2F°,
,,7/2,243 542.0,,82,,,,4,3d6(1G2)4p,2F°,
,,,,,,,,,,,,
3d6(3F1)4p,4G°,7/2,247 731.7,,77,,,,17,3d6(3F2)4p,4G°,
,,9/2,248 218.0,,74,,,,18,3d6(3F2)4p,4G°,
,,11/2,248 855.4,,78,,,,20,3d6(3F2)4p,4G°,
,,,,,,,,,,,,
3d6(3P1)4p,4S°,3/2,249 130.0,,74,,,,24,3d6(3P2)4p,4S°,
,,,,,,,,,,,,
3d6(3F1)4p,2D°,3/2,250 951.0,,49,,,,24,3d6(3P1)4p,2D°,
,,5/2,251 694.3,,46,,,,23,3d6(3P1)4p,2D°,
,,,,,,,,,,,,
3d6(3F1)4p,2G°,9/2,251 773.6,,66,,,,17,3d6(3F2)4p,2G°,
,,7/2,252 523.0,,69,,,,16,3d6(3F2)4p,2G°,
,,,,,,,,,,,,
3d6(3P1)4p,4P°,5/2,252 354.0,,37,,,,29,3d6(3P2)4p,4P°,
,,,,,,,,,,,,
3d6(3F1)4p,°,3/2,252 975.4,,32,4D°,,,23,3d6(3P1)4p,4D°,
,,,,,,,,,,,,
3d6(3F1)4p,°,5/2,253 326.2,,26,4F°,,,13,3d6(3P1)4p,4D°,
,,,,,,,,,,,,
3d6(3F1)4p,4F°,3/2,253 579.3,,57,,,,18,3d6(3F2)4p,4F°,
,,7/2,253 639.1,,40,,,,16,3d6(3P1)4p,4D°,
,,5/2,254 123.7,,40,,,,17,3d6(3F1)4p,4D°,
,,9/2,254 300.0,,66,,,,24,3d6(3F2)4p,4F°,
,,,,,,,,,,,,
3d6(3F1)4p,°,7/2,254 663.4,,26,4F°,,,22,3d6(3P1)4p,4D°,
,,,,,,,,,,,,
3d6(3F1)4p,°,3/2,255 064.0,,27,2D°,,,23,3d6(3P1)4p,2D°,
,,,,,,,,,,,,
3d6(3F1)4p,2F°,7/2,257 018.0,,54,,,,23,3d6(3F2)4p,2F°,
,,5/2,257 406.4,,66,,,,25,3d6(3F2)4p,2F°,
,,,,,,,,,,,,
3d6(1G1)4p,2H°,9/2,258 672.8,,59,,,,33,3d6(1G2)4p,2H°,
,,11/2,260 065.1,,62,,,,35,3d6(1G2)4p,2H°,
,,,,,,,,,,,,
3d6(1G1)4p,°,7/2,260 355.5,,31,2F°,,,23,3d6(1G1)4p,2G°,
,,,,,,,,,,,,
3d6(1G1)4p,2F°,5/2,261 226.3,,55,,,,26,3d6(1G2)4p,2F°,
,,,,,,,,,,,,
3d6(1G1)4p,2G°,9/2,262 275.5,,64,,,,27,3d6(1G2)4p,2G°,
,,7/2,262 538.7,,44,,,,19,3d6(1G2)4p,2G°,
,,,,,,,,,,,,
3d6(1D1)4p,2D°,3/2,282 179.5,,79,,,,17,3d6(1D2)4p,2D°,
,,5/2,282 645.2,,79,,,,17,3d6(1D2)4p,2D°,
,,,,,,,,,,,,
Ni V (3d6 5D4),Limit,---,[443 000],2 000,,,,,,,,"L7185,L241"
