Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Leading percentages,Reference
3p6.3d7.(4F).5p,3D*,3,,202624.51,,,  62             :    30  3d7.(4F).5p      3F*      ,
3p6.3d7.(4F).5p,3D*,2,,204242.07,,,  57             :    38  3d7.(4F).5p      3F*      ,
3p6.3d7.(4F).5p,3D*,1,,204677.95,,,  98                                                ,
3p6.3d6.(5D).4s.4p,5D*,4,,204404.12,,,                                                    ,
3p6.3d6.(5D).4s.4p,5D*,3,,204714.93,,,                                                    ,
3p6.3d6.(5D).4s.4p,5D*,2,,205062.51,,,                                                    ,
3p6.3d6.(5D).4s.4p,5D*,1,,205327.00,,,                                                    ,
3p6.3d6.(5D).4s.4p,5D*,0,,205466.00,,,                                                    ,
3p6.3d6.(5D).4s.4p,5F*,5,,206925.18,,,                                                    ,
3p6.3d6.(5D).4s.4p,5F*,4,,207382.10,,,                                                    ,
3p6.3d6.(5D).4s.4p,5F*,3,,207744.30,,,                                                    ,
3p6.3d6.(5D).4s.4p,5F*,2,,208005.7,,,                                                    ,
3p6.3d6.(5D).4s.4p,3D*,3,,212312.5,,,                                                    ,
3p6.3d6.(5D).4s.4p,3D*,2,,213016.8,,,                                                    ,
3p6.3d6.(5D).4s.4p,3D*,1,,213490.0,,,                                                    ,
3p6.3d6.(5D).4s.4p,3F*,4,,212837.7,,,                                                    ,
3p6.3d6.(5D).4s.4p,3F*,3,,213979.67,,,                                                    ,
3p6.3d6.(5D).4s.4p,3F*,2,,214744.0,,,                                                    ,
3p6.3d7.(4F<9/2>).4f,2[11/2]*,6,,221187.25,,,  99                                                ,
3p6.3d7.(4F<9/2>).4f,2[11/2]*,5,,221195.35,,,  88             :    11  3d7.(4F<9/2>).4f 2[9/2]*  ,
3p6.3d7.(4F<9/2>).4f,2[9/2]*,4,,221256.08,,,  98                                                ,
3p6.3d7.(4F<9/2>).4f,2[9/2]*,5,,221268.50,,,  88             :    11  3d7.(4F<9/2>).4f 2[11/2]* ,
3p6.3d7.(4F<9/2>).4f,2[13/2]*,7,,221286.78,,,  99                                                ,
3p6.3d7.(4F<9/2>).4f,2[13/2]*,6,,221292.92,,,  99                                                ,
3p6.3d7.(4F<9/2>).4f,2[7/2]*,3,,221350.90,,,  99                                                ,
3p6.3d7.(4F<9/2>).4f,2[7/2]*,4,,221388.14,,,  98                                                ,
3p6.3d7.(4F<9/2>).4f,2[15/2]*,8,,221433.20,,,  99                                                ,
3p6.3d7.(4F<9/2>).4f,2[15/2]*,7,,221444.15,,,  99                                                ,
3p6.3d7.(4F<9/2>).4f,2[5/2]*,3,,221476.68,,,  99                                                ,
3p6.3d7.(4F<7/2>).4f,2[9/2]*,5,,222455.66,,,  94                                                ,
3p6.3d7.(4F<7/2>).4f,2[9/2]*,4,,222466.47,,,  89             :     9  3d7.(4F<7/2>).4f 2[7/2]*  ,
3p6.3d7.(4F<7/2>).4f,2[11/2]*,6,,222494.65,,,  99                                                ,
3p6.3d7.(4F<7/2>).4f,2[11/2]*,5,,222529.55,,,  94                                                ,
3p6.3d7.(4F<7/2>).4f,2[7/2]*,3,,222516.60,,,  97                                                ,
3p6.3d7.(4F<7/2>).4f,2[7/2]*,4,,222547.50,,,  89             :    10  3d7.(4F<7/2>).4f 2[9/2]*  ,
3p6.3d7.(4F<7/2>).4f,2[5/2]*,3,,222530.00,,,  97                                                ,
3p6.3d7.(4F<7/2>).4f,2[5/2]*,2,,222571.37,,,  98                                                ,
3p6.3d7.(4F<7/2>).4f,2[13/2]*,7,,222596.30,,,  99                                                ,
3p6.3d7.(4F<7/2>).4f,2[13/2]*,6,,222599.70,,,  99                                                ,
3p6.3d7.(4F<5/2>).4f,2[9/2]*,4,,223314.77,,,  98                                                ,
3p6.3d7.(4F<5/2>).4f,2[9/2]*,5,,223434.10,,,  99                                                ,
3p6.3d7.(4F<5/2>).4f,2[7/2]*,3,,223329.77,,,  87             :    12  3d7.(4F<5/2>).4f 2[5/2]*  ,
3p6.3d7.(4F<5/2>).4f,2[7/2]*,4,,223387.00,,,  98                                                ,
3p6.3d7.(4F<5/2>).4f,2[5/2]*,2,,223375.18,,,  97                                                ,
3p6.3d7.(4F<5/2>).4f,2[5/2]*,3,,223406.81,,,  85             :    12  3d7.(4F<5/2>).4f 2[7/2]*  ,
3p6.3d7.(4F<5/2>).4f,2[11/2]*,5,,223461.15,,,  99                                                ,
3p6.3d7.(4F<5/2>).4f,2[11/2]*,6,,223469.90,,,  99                                                ,
3p6.3d7.(4F<5/2>).4f,2[3/2]*,2,,223481.25,,,  99                                                ,
3p6.3d7.(4F<5/2>).4f,2[3/2]*,1,,223491.34,,,  99                                                ,
3p6.3d7.(4F<3/2>).4f,2[5/2]*,3,,223957.54,,,  97                                                ,
3p6.3d7.(4F<3/2>).4f,2[5/2]*,2,,224026.05,,,  97                                                ,
3p6.3d7.(4F<3/2>).4f,2[9/2]*,4,,223989.02,,,  99                                                ,
3p6.3d7.(4F<3/2>).4f,2[9/2]*,5,,224020.91,,,  99                                                ,
3p6.3d7.(4F).6s,5F,5,,225784.20,,,  99                                                ,
3p6.3d7.(4F).6s,5F,3,,227270.07,,,  73             :    26  3d7.(4F).6s      3F       ,
3p6.3d7.(4F).6s,5F,4,,227288.70,,,  55             :    44  3d7.(4F).6s      3F       ,
3p6.3d7.(4F).6s,5F,2,,227985.66,,,  90             :     9  3d7.(4F).6s      3F       ,
3p6.3d7.(4F).5d,5F,5,,225918.35,,,  79             :    20  3d7.(4F).5d      5G       ,
3p6.3d7.(4F).5d,5F,4,,226118.80,,,  55             :    34  3d7.(4F).5d      5D       ,
3p6.3d7.(4F).5d,5F,1,,228042.24,,,  62             :    24  3d7.(4F).5d      5D       ,
3p6.3d7.(4F).5d,5G,6,,226124.64,,,  91             :     8  3d7.(4F).5d      5H       ,
3p6.3d7.(4F).5d,5G,5,,227433.80,,,  41             :    34  3d7.(4F).5d      3G       ,
3p6.3d7.(4F).5d,5G,3,,227963.02,,,  43             :    17  3d7.(4F).5d      5D       ,
3p6.3d7.(4F).5d,5G,2,,228483.54,,,  68             :    13  3d7.(4F).5d      5F       ,
