Configuration,Term,J,"Level 
 (cm-1)","Uncertainty 
 (cm-1)",Landé-g,Leading percentages,,,,,,,Reference
3d3(2F)4p,x 1G°,4,65 790.303,0.003,0.94,86,,,,11,3d3(2H)4p,1G°,"L20009,L8201"
,,,,,,,,,,,,,
3d3(2F)4p,x 1F°,3,66 303.935,0.003,0.95,75,,,,20,3d2(3F)4s(2F)4p,1F°,"L20009,L8201"
,,,,,,,,,,,,,
3d2(3F)4s4p(3P°),v 3F°,2,67 737.759,0.004,,81,,,,7,3d2(1D)4s4p(3P°),3F°,L20009
,,3,67 904.995,0.004,,81,,,,7,3d2(1D)4s4p(3P°),3F°,L20009
,,4,68 147.179,0.003,,82,,,,7,3d2(1D)4s4p(3P°),3F°,L20009
,,,,,,,,,,,,,
3d2(3F)4s4p(3P°),u 3D°,1,68 759.426,0.006,,78,,,,8,3d2(3P)4s4p(3P°),3D°,L20009
,,2,68 797.597,0.005,,77,,,,8,3d2(3P)4s4p(3P°),3D°,L20009
,,3,68 945.047,0.003,,78,,,,8,3d2(3P)4s4p(3P°),3D°,L20009
,,,,,,,,,,,,,
3d3(4F)5s,5F,1,69 146.385,0.006,,100,,,,,,,L20009
,,2,69 228.317,0.005,,99,,,,,,,L20009
,,3,69 352.5300,0.0023,,99,,,,,,,L20009
,,4,69 518.5261,0.0023,,99,,,,,,,L20009
,,5,69 724.235,0.004,1.39,100,,,,,,,"L20009,L8201"
,,,,,,,,,,,,,
3d2(3F)4s4p(3P°),v 3G°,3,69 644.195,0.003,,92,,,,,,,L20009
,,4,69 912.025,0.003,,94,,,,,,,L20009
,,5,70 227.799,0.003,,94,,,,,,,L20009
,,,,,,,,,,,,,
3d3(4F)5s,3F,2,70 415.5416,0.0023,,99,,,,,,,L20009
,,3,70 629.8323,0.0015,1.06,99,,,,,,,"L20009,L8201"
,,4,70 898.5669,0.0017,1.23,99,,,,,,,"L20009,L8201"
,,,,,,,,,,,,,
3d2(3F)4s4p(3P°),1D°,2,70 923.444,0.003,,80,,,,10,3d2(3P)4s4p(3P°),1D°,L20009
,,,,,,,,,,,,,
3d2(3F)4s4p(3P°),1F°,3,70 936.130,0.003,,75,,,,17,3d3(2F)4p,1F°,L20009
,,,,,,,,,,,,,
3d3(4F)4d,e 5H,3,72 448.6001,0.0019,,98,,,,,,,L20009
,,4,72 551.2964,0.0018,,98,,,,,,,L20009
,,5,72 680.855,0.003,,98,,,,,,,L20009
,,6,72 837.5795,0.0024,,98,,,,,,,L20009
,,7,73 021.1428,0.0022,,99,,,,,,,L20009
,,,,,,,,,,,,,
3d3(4F)4d,e 5P,1,72 518.624,0.003,,99,,,,,,,L20009
,,2,72 674.9214,0.0015,,98,,,,,,,L20009
,,3,72 908.9974,0.0015,,98,,,,,,,L20009
,,,,,,,,,,,,,
3d3(4F)4d,5F,1,72 839.3466,0.0021,,91,,,,7,3d3(4F)4d,3D,L20009
,,2,73 027.3122,0.0015,,69,,,,28,3d3(4F)4d,5G,L20009
,,3,73 146.3451,0.0014,,61,,,,37,3d3(4F)4d,5G,L20009
,,4,73 279.3426,0.0018,,57,,,,41,3d3(4F)4d,5G,L20009
,,5,73 417.3293,0.0012,,53,,,,45,3d3(4F)4d,5G,L20009
